Name,Address,Company,Signal Level,Frequency,Channel,Security,Cipher,BSS Type,WPS Support,Time,Longitude,Latitude,X,Y,Z
BPGC-NAB,70:EA:1A:22:AC:00,"Cisco Systems, Inc",-66,2437,6,None,None,Infrastructure,No,11/02/2020 22:41:21,,,2,0,0
CRT-MIFI,8C:21:A7:E1:4E:22,,-67,2427,4,WPA-PSK,CCMP,Infrastructure,No,11/02/2020 22:40:20,,,2,0,0
BPGC-NAB,70:EA:1A:22:96:00,"Cisco Systems, Inc",-70,2412,1,None,None,Infrastructure,No,11/02/2020 22:41:21,,,2,0,0
BPGC-NAB,00:A3:8E:4E:29:A0,"Cisco Systems, Inc",-69,2412,1,None,None,Infrastructure,No,11/02/2020 22:40:18,,,2,0,0
BPGC-NAB,08:4F:A9:30:00:00,,-76,2437,6,None,None,Infrastructure,No,11/02/2020 22:38:20,,,2,0,0
BPGC-NAB,70:EA:1A:22:87:60,"Cisco Systems, Inc",-71,2412,1,None,None,Infrastructure,No,11/02/2020 22:38:19,,,2,0,0
BPGC-WIFI,40:01:7A:B1:00:40,"Cisco Systems, Inc",-79,2462,11,None,None,Infrastructure,No,11/02/2020 22:36:22,,,2,0,0
BPGC-NAB,70:EA:1A:22:A0:20,"Cisco Systems, Inc",-80,2437,6,None,None,Infrastructure,No,11/02/2020 22:40:18,,,2,0,0
BPGC-NAB,08:4F:A9:39:68:40,,-69,2462,11,None,None,Infrastructure,No,11/02/2020 22:40:18,,,2,0,0
BPGC-NAB,70:EA:1A:22:97:80,"Cisco Systems, Inc",-82,2412,1,None,None,Infrastructure,No,11/02/2020 22:38:18,,,2,0,0
sks,88:63:DF:BB:74:A5,"Apple, Inc.",-85,2462,11,WPA2-PSK,CCMP,Infrastructure,No,11/02/2020 22:41:21,,,2,0,0
BPGC-NAB,70:EA:1A:22:8F:E0,"Cisco Systems, Inc",-75,2437,6,None,None,Infrastructure,No,11/02/2020 22:38:19,,,2,0,0
BPGC-NAB,08:4F:A9:10:4B:80,,-71,2462,11,None,None,Infrastructure,No,11/02/2020 22:40:18,,,2,0,0
BPGC-NAB,70:EA:1A:22:A5:A0,"Cisco Systems, Inc",-80,2462,11,None,None,Infrastructure,No,11/02/2020 22:38:19,,,2,0,0
BPGC-NAB,70:EA:1A:22:92:40,"Cisco Systems, Inc",-81,2412,1,None,None,Infrastructure,No,11/02/2020 22:38:19,,,2,0,0
BPGC-NAB,A8:B4:56:CC:DE:00,"Cisco Systems, Inc",-79,2462,11,None,None,Infrastructure,No,11/02/2020 22:40:20,,,2,0,0
BPGC-NAB,70:EA:1A:22:9F:E0,"Cisco Systems, Inc",-86,2462,11,None,None,Infrastructure,No,11/02/2020 22:38:20,,,2,0,0
BPGC-WIFI,40:01:7A:C6:A5:60,"Cisco Systems, Inc",-86,2462,11,None,None,Infrastructure,No,11/02/2020 22:38:20,,,2,0,0
BPGC-NAB,00:A3:8E:60:F2:A0,"Cisco Systems, Inc",-80,2462,11,None,None,Infrastructure,No,11/02/2020 22:40:18,,,2,0,0
