Name,Address,Signal Level,Frequency,Channel,Time,X,Y,Z,MAC,Final
BPGC-NAB,08:4F:A9:39:6A:40,-88,2462,11,11/02/20 11:18:41 PM,9,0,0,9138234550848,9138234550848900
BPGC-NAB,70:EA:1A:22:98:20,-89,2437,6,11/02/20 11:18:41 PM,9,0,0,124150763132960,124150763132960900
BPGC-NAB,08:4F:A9:10:4B:80,-91,2462,11,11/02/20 11:18:39 PM,9,0,0,9138231856000,9138231856000900
BPGC-NAB,70:EA:1A:22:8F:E0,-92,2437,6,11/02/20 11:18:39 PM,9,0,0,124150763130848,124150763130848900
BPGC-NAB,70:EA:1A:22:96:00,-93,2412,1,11/02/20 11:18:39 PM,9,0,0,124150763132416,124150763132416900
BPGC-NAB,70:EA:1A:22:9B:E0,-92,2437,6,11/02/20 11:18:41 PM,9,0,0,124150763133920,124150763133920900
BPGC-NAB,70:EA:1A:22:9B:80,-94,2412,1,11/02/20 11:18:41 PM,9,0,0,124150763133824,124150763133824900
DIRECT-1D-HP DeskJet 2600 series,AC:E2:D3:B6:BA:1E,-96,2437,6,11/02/20 11:18:39 PM,9,0,0,190090214554142,190090214554142900
BPGC-NAB,70:EA:1A:22:A9:40,-86,2462,11,11/02/20 11:18:41 PM,9,0,0,124150763137344,124150763137344900
BPGC-NAB,70:EA:1A:22:9F:80,-91,2462,11,11/02/20 11:18:41 PM,9,0,0,124150763134848,124150763134848900
BPGC-NAB,00:A3:8E:60:F2:A0,-94,2462,11,11/02/20 11:18:41 PM,9,0,0,702468387488,702468387488900
BPGC-NAB,08:4F:A9:2D:8A:A0,-34,2412,1,11/02/2020 22:40:20,2,0,0,9138233772704,9138233772704200
BPGC-NAB,70:EA:1A:22:A9:A0,-51,2437,6,11/02/2020 22:40:20,2,0,0,124150763137440,124150763137440200
BPGC-NAB,08:4F:A9:2D:8A:40,-43,2462,11,11/02/2020 22:40:20,2,0,0,9138233772608,9138233772608200
BPGC-NAB,08:4F:A9:39:68:20,-47,2437,6,11/02/2020 22:38:20,2,0,0,9138234550304,9138234550304200
BPGC-NAB,70:EA:1A:22:9F:20,-58,2462,11,11/02/2020 22:40:18,2,0,0,124150763134752,124150763134752200
BPGC-NAB,70:EA:1A:22:98:20,-71,2437,6,11/02/2020 22:38:18,2,0,0,124150763132960,124150763132960200
BPGC-NAB,70:EA:1A:22:AC:00,-66,2437,6,11/02/2020 22:41:21,2,0,0,124150763138048,124150763138048200
CRT-MIFI,8C:21:A7:E1:4E:22,-67,2427,4,11/02/2020 22:40:20,2,0,0,154076178370082,154076178370082200
BPGC-NAB,70:EA:1A:22:96:00,-70,2412,1,11/02/2020 22:41:21,2,0,0,124150763132416,124150763132416200
BPGC-NAB,00:A3:8E:4E:29:A0,-69,2412,1,11/02/2020 22:40:18,2,0,0,702467156384,702467156384200
BPGC-NAB,08:4F:A9:30:00:00,-76,2437,6,11/02/2020 22:38:20,2,0,0,9138233933824,9138233933824200
BPGC-NAB,70:EA:1A:22:87:60,-71,2412,1,11/02/2020 22:38:19,2,0,0,124150763128672,124150763128672200
BPGC-WIFI,40:01:7A:B1:00:40,-79,2462,11,11/02/2020 22:36:22,2,0,0,70375097565248,70375097565248200
BPGC-NAB,70:EA:1A:22:A0:20,-80,2437,6,11/02/2020 22:40:18,2,0,0,124150763135008,124150763135008200
BPGC-NAB,08:4F:A9:39:68:40,-69,2462,11,11/02/2020 22:40:18,2,0,0,9138234550336,9138234550336200
BPGC-NAB,70:EA:1A:22:97:80,-82,2412,1,11/02/2020 22:38:18,2,0,0,124150763132800,124150763132800200
sks,88:63:DF:BB:74:A5,-85,2462,11,11/02/2020 22:41:21,2,0,0,149962536744101,149962536744101200
BPGC-NAB,70:EA:1A:22:8F:E0,-75,2437,6,11/02/2020 22:38:19,2,0,0,124150763130848,124150763130848200
BPGC-NAB,08:4F:A9:10:4B:80,-71,2462,11,11/02/2020 22:40:18,2,0,0,9138231856000,9138231856000200
BPGC-NAB,70:EA:1A:22:A5:A0,-80,2462,11,11/02/2020 22:38:19,2,0,0,124150763136416,124150763136416200
BPGC-NAB,70:EA:1A:22:92:40,-81,2412,1,11/02/2020 22:38:19,2,0,0,124150763131456,124150763131456200
BPGC-NAB,A8:B4:56:CC:DE:00,-79,2462,11,11/02/2020 22:40:20,2,0,0,185492503846400,185492503846400200
BPGC-NAB,70:EA:1A:22:9F:E0,-86,2462,11,11/02/2020 22:38:20,2,0,0,124150763134944,124150763134944200
BPGC-WIFI,40:01:7A:C6:A5:60,-86,2462,11,11/02/2020 22:38:20,2,0,0,70375098983776,70375098983776200
BPGC-NAB,00:A3:8E:60:F2:A0,-80,2462,11,11/02/2020 22:40:18,2,0,0,702468387488,702468387488200
BPGC-NAB,A8:B4:56:CA:8F:40,-89,2437,6,11/02/2020 22:41:21,2,0,0,185492503695168,185492503695168200
BPGC-NAB,70:EA:1A:22:A9:40,-77,2462,11,11/02/2020 22:41:21,2,0,0,124150763137344,124150763137344200
BPGC-NAB,A8:B4:56:CC:DE:00,-31,2462,11,12/02/2020 22:30:47,8,4,0,185492503846400,185492503846400840
BPGC-NAB,70:EA:1A:22:A0:20,-40,2437,6,12/02/2020 22:28:46,8,4,0,124150763135008,124150763135008840
BPGC-NAB,70:EA:1A:22:97:80,-58,2412,1,12/02/2020 22:30:47,8,4,0,124150763132800,124150763132800840
BPGC-NAB,70:EA:1A:22:A5:A0,-54,2462,11,12/02/2020 22:30:47,8,4,0,124150763136416,124150763136416840
BPGC-NAB,70:EA:1A:22:96:00,-60,2412,1,12/02/2020 22:30:47,8,4,0,124150763132416,124150763132416840
BPGC-NAB,70:EA:1A:22:87:60,-57,2412,1,12/02/2020 22:28:46,8,4,0,124150763128672,124150763128672840
BPGC-NAB,70:EA:1A:22:A9:40,-56,2462,11,12/02/2020 22:28:45,8,4,0,124150763137344,124150763137344840
BPGC-NAB,70:EA:1A:22:AC:00,-65,2437,6,12/02/2020 22:31:25,8,4,0,124150763138048,124150763138048840
BPGC-NAB,70:EA:1A:22:98:20,-53,2437,6,12/02/2020 22:28:45,8,4,0,124150763132960,124150763132960840
BPGC-NAB,00:A3:8E:60:F2:A0,-67,2462,11,12/02/2020 22:30:45,8,4,0,702468387488,702468387488840
BPGC-NAB,70:EA:1A:22:92:40,-76,2412,1,12/02/2020 22:26:46,8,4,0,124150763131456,124150763131456840
BPGC-NAB,70:EA:1A:22:8F:E0,-72,2437,6,12/02/2020 22:31:25,8,4,0,124150763130848,124150763130848840
BPGC-NAB,70:EA:1A:22:9B:80,-64,2412,1,12/02/2020 22:30:47,8,4,0,124150763133824,124150763133824840
BPGC-NAB,08:4F:A9:39:68:20,-74,2437,6,12/02/2020 22:30:46,8,4,0,9138234550304,9138234550304840
CRT-MIFI,8C:21:A7:E1:4E:22,-79,2427,4,12/02/2020 22:26:46,8,4,0,154076178370082,154076178370082840
BPGC-NAB,70:EA:1A:22:96:A0,-78,2412,1,12/02/2020 22:28:46,8,4,0,124150763132576,124150763132576840
bhikkhu,60:6D:C7:A3:30:E3,-81,2412,1,12/02/2020 22:26:46,8,4,0,106024617062627,106024617062627840
BPGC-NAB,08:4F:A9:2D:8A:A0,-82,2412,1,12/02/2020 22:26:46,8,4,0,9138233772704,9138233772704840
BPGC-NAB,08:4F:A9:30:00:00,-69,2437,6,12/02/2020 22:30:45,8,4,0,9138233933824,9138233933824840
BPGC-NAB,08:4F:A9:39:68:40,-76,2462,11,12/02/2020 22:30:45,8,4,0,9138234550336,9138234550336840
BPGC-NAB,70:EA:1A:22:9F:80,-87,2462,11,12/02/2020 22:30:45,8,4,0,124150763134848,124150763134848840
BPGC-NAB,70:EA:1A:22:A9:A0,-88,2437,6,12/02/2020 22:26:46,8,4,0,124150763137440,124150763137440840
BPGC-NAB,08:4F:A9:10:4B:80,-74,2462,11,12/02/2020 22:30:45,8,4,0,9138231856000,9138231856000840
BPGC-NAB,70:EA:1A:22:9B:E0,-75,2437,6,12/02/2020 22:30:47,8,4,0,124150763133920,124150763133920840
BPGC-NAB,A8:B4:56:CA:8F:40,-86,2437,6,12/02/2020 22:26:47,8,4,0,185492503695168,185492503695168840
sks,88:63:DF:BB:74:A5,-81,2462,11,12/02/2020 22:28:45,8,4,0,149962536744101,149962536744101840
BPGC-NAB,00:A3:8E:4E:29:A0,-80,2412,1,12/02/2020 22:28:47,8,4,0,702467156384,702467156384840
BPGC-NAB,08:4F:A9:2D:8A:40,-76,2462,11,12/02/2020 22:28:47,8,4,0,9138233772608,9138233772608840
BPGC-NAB,70:EA:1A:22:9F:E0,-73,2462,11,12/02/2020 22:30:47,8,4,0,124150763134944,124150763134944840
BPGC-NAB,70:EA:1A:22:96:20,-85,2462,11,12/02/2020 22:30:46,8,4,0,124150763132448,124150763132448840
BPGC-NAB,08:4F:A9:10:4B:80,-30,2462,11,12/02/2020 23:22:05,0,1,0,9138231856000,9138231856000010
BPGC-NAB,70:EA:1A:22:96:00,-48,2412,1,12/02/2020 23:20:04,0,1,0,124150763132416,124150763132416010
BPGC-NAB,70:EA:1A:22:A9:A0,-52,2437,6,12/02/2020 23:24:04,0,1,0,124150763137440,124150763137440010
BPGC-NAB,00:A3:8E:60:F2:A0,-53,2462,11,12/02/2020 23:24:05,0,1,0,702468387488,702468387488010
BPGC-NAB,70:EA:1A:22:AC:00,-56,2437,6,12/02/2020 23:25:06,0,1,0,124150763138048,124150763138048010
BPGC-NAB,70:EA:1A:22:8F:E0,-50,2437,6,12/02/2020 23:24:04,0,1,0,124150763130848,124150763130848010
BPGC-NAB,70:EA:1A:22:A9:40,-70,2462,11,12/02/2020 23:20:04,0,1,0,124150763137344,124150763137344010
BPGC-NAB,08:4F:A9:2D:8A:A0,-61,2412,1,12/02/2020 23:20:05,0,1,0,9138233772704,9138233772704010
BPGC-WIFI,40:01:7A:01:B8:80,-70,2412,1,12/02/2020 23:24:05,0,1,0,70375086078080,70375086078080010
BPGC-NAB,70:EA:1A:22:9F:20,-69,2462,11,12/02/2020 23:24:05,0,1,0,124150763134752,124150763134752010
BPGC-NAB,70:EA:1A:22:96:A0,-78,2412,1,12/02/2020 23:23:59,0,1,0,124150763132576,124150763132576010
BPGC-WIFI,40:01:7A:01:B8:8F,-73,5280,56,12/02/2020 23:24:05,0,1,0,70375086078095,70375086078095010
BPGC-NAB,70:EA:1A:22:97:80,-77,2412,1,12/02/2020 23:20:04,0,1,0,124150763132800,124150763132800010
BPGC-NAB,70:EA:1A:22:A5:A0,-77,2462,11,12/02/2020 23:20:04,0,1,0,124150763136416,124150763136416010
BPGC-NAB,70:EA:1A:22:96:20,-87,2462,11,12/02/2020 23:20:04,0,1,0,124150763132448,124150763132448010
sks,88:63:DF:BB:74:A5,-88,2462,11,12/02/2020 23:20:04,0,1,0,149962536744101,149962536744101010
BPGC-NAB,70:EA:1A:22:98:20,-69,2437,6,12/02/2020 23:24:02,0,1,0,124150763132960,124150763132960010
BPGC-NAB,A8:B4:56:CC:DE:00,-78,2462,11,12/02/2020 23:22:03,0,1,0,185492503846400,185492503846400010
BPGC-NAB,70:EA:1A:22:A0:20,-77,2437,6,12/02/2020 23:24:04,0,1,0,124150763135008,124150763135008010
BPGC-NAB,08:4F:A9:2D:8A:40,-81,2462,11,12/02/2020 23:23:59,0,1,0,9138233772608,9138233772608010
BPGC-WIFI,40:01:7A:AF:D3:60,-67,2437,6,12/02/2020 23:24:08,0,1,0,70375097488224,70375097488224010
BPGC-WIFI,40:01:7A:C6:A5:60,-74,2462,11,12/02/2020 23:24:02,0,1,0,70375098983776,70375098983776010
BPGC-NAB,08:4F:A9:39:68:20,-89,2437,6,12/02/2020 23:24:05,0,1,0,9138234550304,9138234550304010
BPGC-NAB,70:EA:1A:22:A0:20,-51,2437,6,12/02/20 10:18:06 PM,11,4,0,124150763135008,1241507631350081140
BPGC-NAB,70:EA:1A:22:98:20,-65,2437,6,12/02/20 10:18:06 PM,11,4,0,124150763132960,1241507631329601140
BPGC-NAB,70:EA:1A:22:A5:A0,-67,2462,11,12/02/20 10:18:06 PM,11,4,0,124150763136416,1241507631364161140
BPGC-NAB,00:A3:8E:60:F2:A0,-76,2462,11,12/02/20 10:18:06 PM,11,4,0,702468387488,7024683874881140
BPGC-NAB,70:EA:1A:22:AC:00,-75,2437,6,12/02/20 10:21:04 PM,11,4,0,124150763138048,1241507631380481140
BPGC-NAB,70:EA:1A:22:9B:E0,-86,2437,6,12/02/20 10:21:04 PM,11,4,0,124150763133920,1241507631339201140
BPGC-NAB,70:EA:1A:22:8F:E0,-84,2437,6,12/02/20 10:21:04 PM,11,4,0,124150763130848,1241507631308481140
BPGC-NAB,08:4F:A9:39:68:20,-87,2437,6,12/02/20 10:20:15 PM,11,4,0,9138234550304,91382345503041140
BPGC-WIFI,40:01:7A:01:B8:80,-80,2412,1,12/02/20 10:20:15 PM,11,4,0,70375086078080,703750860780801140
BPGC-NAB,A8:B4:56:CA:8F:40,-94,2437,6,12/02/20 10:18:06 PM,11,4,0,185492503695168,1854925036951681140
BPGC-NAB,70:EA:1A:22:97:80,-60,2412,1,12/02/20 10:18:06 PM,11,4,0,124150763132800,1241507631328001140
BPGC-NAB,A8:B4:56:CC:DE:00,-70,2462,11,12/02/20 10:18:06 PM,11,4,0,185492503846400,1854925038464001140
bhikkhu,60:6D:C7:A3:30:E3,-72,2412,1,12/02/20 10:20:15 PM,11,4,0,106024617062627,1060246170626271140
BPGC-NAB,70:EA:1A:22:87:60,-74,2412,1,12/02/20 10:18:06 PM,11,4,0,124150763128672,1241507631286721140
BPGC-NAB,70:EA:1A:22:96:00,-68,2412,1,12/02/20 10:20:15 PM,11,4,0,124150763132416,1241507631324161140
BPGC-NAB,08:4F:A9:10:4B:80,-88,2462,11,12/02/20 10:18:06 PM,11,4,0,9138231856000,91382318560001140
BPGC-NAB,70:EA:1A:22:9B:80,-83,2412,1,12/02/20 10:20:15 PM,11,4,0,124150763133824,1241507631338241140
